pn,pn_interchangeable,interchangeable_type,authorization_code,vendor,prefer,category
351-1525-010,SN54LS74AJ,B,,,N,EXP
351-1525-010,351-1525-010,M,,,,EXP
351-1527-010,351-1527-010,M,,,,EXP
351-1527-010,SN54LS190J,B,,,N,EXP
351-1527-020,351-1527-020,M,,,,EXP
351-1527-020,DM54LS191J,B,,,N,EXP
351-1546-010,SN54S04DM,B,,,N,EXP
351-1546-010,351-1546-010,M,,,,EXP
351-1653-010,SP8680A,B,,,N,EXP
351-1653-010,351-1653-010,M,,,,EXP
351-1738-010,SN54LS93DM,B,,,N,EXP
351-1738-010,351-1738-010,M,,,,EXP
351-200-006-0,351-200-006-0,M,,07482,,ROT
351-2420-010,351-2420-010,M,,,,EXP
351-2422-010,PBF5542,B,,,N,EXP
351-2422-010,351-2422-010,M,,,,EXP
351-2423-010,351-2423-010,M,,,,EXP
351-310-102-0,351-310-102-0,M,,07482,,ROT
351-3629-010,351-3629-010,M,,,,EXP
351-44900-330G,351-44900-330G,M,,,,EXP
35145A,35145A,M,,,,EXP
35158,35158,M,,,,TOOL
351-701-204-0,351-701-204-0,M,,OEM,,REP
351-702-106-0,351-702-106-0,M,,07482,,ROT
351-702-706-0,351-702-706-0,M,,07482,,ROT
351-704-802-0,351-704-802-0,M,,07482,,ROT
351-705-502-0,351-705-502-0,M,,07482,,ROT
351-706-101-0,351-706-101-0,M,,07482,,ROT
351-7077-020,351-7077-020,M,,,,EXP
351-7077-020,RG41CJ,B,,,N,EXP
351-7093-020,351-7093-020,M,,,,EXP
351-7189-030,351-7189-030,M,,,,EXP
351-7389-020,351-7389-020,M,,,,EXP
351-7389-020,SN5400J,B,,,N,EXP
351-7542-030,351-7542-030,M,,,,EXP
351-7542-040,SN54197J,B,,,N,EXP
351-7542-040,351-7542-040,M,,,,EXP
351-7606-020,SN5474J,B,,,N,EXP
351-7606-020,351-7606-020,M,,,,EXP
351-7616-040,9602PC,B,,,N,EXP
351-7616-040,351-7616-040,M,,,,EXP
351-7631-010,351-7631-010,M,,,,EXP
351-7631-010,SN7405N,B,,,N,EXP
351-7678-010,SN5402J,B,,,N,EXP
351-7678-010,DM5402J,B,,,N,EXP
351-7678-010,351-7678-010,M,,,,EXP
351-7689-010,5404DM,B,,,N,EXP
351-7689-010,351-7689-010,M,,,,EXP
351-7690-010,SN5410J,B,,,N,EXP
351-7690-010,5410DM,B,,,N,EXP
351-7690-010,351-7690-010,M,,,,EXP
351-7715-020,351-7715-020,M,,,,EXP
351-7786-010,MC12514L,B,,,N,EXP
351-7786-010,351-7786-010,M,,,,EXP
351-8157-010,351-8157-010,M,,,,EXP
351-8159-040,351-8159-040,M,,,,EXP
351-8159-040,CD4011UBE,B,,,N,EXP
351-8160-010,SCL4001UBC,B,,,N,EXP
351-8160-010,MC14001U,B,,,N,EXP
351-8160-010,351-8160-010,M,,,,EXP
351-8160-020,SCL4011UBC,B,,,N,EXP
351-8160-020,MC14011UB,B,,,N,EXP
351-8160-020,351-8160-020,M,,,,EXP
351-8160-030,CD4013B,B,,,N,EXP
351-8160-030,351-8160-030,M,,,,EXP
351-8161-010,MC14020B,B,,,N,EXP
351-8161-010,CD4020BF,B,,,N,EXP
351-8161-010,351-8161-010,M,,,,EXP
351-8175-010,CD4021BF,B,,,N,EXP
351-8175-010,351-8175-010,M,,,,EXP
351-8177-010,CD4040BF,B,,,N,EXP
351-8177-010,MC14040B,B,,,N,EXP
351-8177-010,351-8177-010,M,,,,EXP
351-8180-010,MC14508BAL,B,,,N,EXP
351-8180-010,351-8180-010,M,,,,EXP
351-8184-010,CD4023UBF,B,,,N,EXP
351-8184-010,351-8184-010,M,,,,EXP
351-8186-010,CD4024BF,B,,,N,EXP
351-8186-010,351-8186-010,M,,,,EXP
351-8187-010,CD4022BF,B,,,N,EXP
351-8187-010,351-8187-010,M,,,,EXP
351-8189-010,CD4015BF,B,,,N,EXP
351-8189-010,351-8189-010,M,,,,EXP
351-8197-010,CD4049UBF,B,,,N,EXP
351-8197-010,351-8197-010,M,,,,EXP
351-8197-010,MC14049UBAL,B,,,N,EXP
351-8201-030,MC14042B,B,,,N,EXP
351-8201-030,CD4042BF,B,,,N,EXP
351-8201-030,351-8201-030,M,,,,EXP
351-8208-010,351-8208-010,M,,,,EXP
351-8233-010,351-8233-010,M,,,,EXP
351-8233-010,CD4029BMJ,B,,,N,EXP
351-8233-010,MC14029BAL,B,,,N,EXP
351-8236-040,MC14053BAL,B,,,N,EXP
351-8236-040,351-8236-040,M,,,,EXP
351-8236-040,CD4053BF,B,,,N,EXP
351-8258-010,MC14027BAL,B,,,N,EXP
351-8258-010,351-8258-010,M,,,,EXP
351-8259-010,MC4046B,B,,,N,EXP
351-8259-010,CD4046BE,B,,,N,EXP
351-8259-010,351-8259-010,M,,,,EXP
351-8289-010,351-8289-010,M,,,,EXP
351-8289-010,CD4085BF,B,,,N,EXP
351-8296-010,CD4520BMJ,B,,,N,EXP
351-8296-010,351-8296-010,M,,,,EXP
351-8297-010,CD4081BF,B,,,N,EXP
351-8297-010,351-8297-010,M,,,,EXP
351-8306-010,MC14071BAL,B,,,N,EXP
351-8306-010,351-8306-010,M,,,,EXP
351-8308-020,CD4069UBF,B,,,N,EXP
351-8308-020,351-8308-020,M,,,,EXP
351-8314-020,MC14572UBAL,B,,,N,EXP
351-8314-020,351-8314-020,M,,,,EXP
351-8326-010,351-8326-010,M,,,,EXP
351-8326-010,CD4018BF,B,,,N,EXP
351-8332-020,CD4039BMJ,B,,,N,EXP
351-8332-020,MC14093B,B,,,N,EXP
351-8332-020,351-8332-020,M,,,,EXP
351-8334-010,MC14502BAL,B,,,N,EXP
351-8334-010,351-8334-010,M,,,,EXP
351-8384-010,91176,B,,,N,EXP
351-8384-010,351-8384-010,M,,,,EXP
351-8384-010,CD40032D84862,B,,,N,EXP
351-8384-020,91177,B,,,N,EXP
351-8384-020,351-8384-020,M,,,,EXP
351-8384-040,CD40032D84916,B,,,N,EXP
351-8384-040,351-8384-040,M,,,,EXP
351-8406-020,351-8406-020,M,,,,EXP
351-8406-020,MC6821,B,,,N,EXP
351-8406-030,351-8406-030,M,,,,EXP
351-8406-030,SCM4567LK,B,,,N,EXP
351-8407-020,351-8407-020,M,,,,EXP
351-8407-020,MC14070BAL,B,,,N,EXP
351-8418-010,MC14077BAL,B,,,N,EXP
351-8418-010,351-8418-010,M,,,,EXP
351-8436-030,351-8436-030,M,,,,EXP
351-8436-030,HM1-7641-2,B,,,N,EXP
351-8454-020,CDP1802AD,B,,,N,EXP
351-8454-020,351-8454-020,M,,,,EXP
351-8507-020,351-8507-020,M,,,,EXP
351-8507-020,CDP1842D,B,,,N,EXP
35196-1,35196-1,M,,,,EXP
351B5241P1,351B5241P1,M,,,,EXP
351B5250P2,351B5250P2,M,,,,REP
351U0003-6,351U0003-6,M,,,,EXP
351U8220-1,351U8220-1,M,,,,EXP
351U8250-1,351U8250-1,M,,,,REP
351U8260-1,351U8260-1,M,,,,CONS
3520,3520,M,,AERONAUTIC,,EXP
3520-0286-01,3520-0286-01,M,,,,EXP
3520-0610-01,3520-0610-01,M,,,,ROT
35203036,35203036,M,,,,EXP
352-0364-000,2N1893,B,,,N,EXP
352-0364-000,352-0364-000,M,,,,EXP
352-0439-000,MD427A,B,,,N,EXP
352-0439-000,352-0439-000,M,,,,EXP
352-0443-000,352-0443-000,M,,,,EXP
352-0443-000,SM679,B,,,N,EXP
352-0596-020,352-0596-020,M,,,,EXP
352-0695-020,352-0695-020,M,,,,EXP
352-0695-060,352-0695-060,M,,,,EXP
352-0729-020,352-0729-020,M,,,,EXP
352-0786-010,352-0786-010,M,,,,EXP
35207900M-11,35207900M-11,M,,,,ROT
35207900M-8,35207900M-8,M,,,,ROT
352-0798-010,352-0798-010,M,,,,EXP
352-0829-010,352-0829-010,M,,,,EXP
352-0867-010,3N140,B,,,N,EXP
352-0867-010,352-0867-010,M,,,,EXP
352-0867-020,352-0867-020,M,,,,EXP
352-0867-020,3N141,B,,,N,EXP
352-0873-030,352-0873-030,M,,,,EXP
352-0901-010,352-0901-010,M,,,,EXP
352-0901-010,CD2926,B,,,N,EXP
352-0908-010,352-0908-010,M,,,,EXP
352-0908-010,SD1013,B,,,N,EXP
352-0966-020,352-0966-020,M,,,,EXP
352-0977-010,352-0977-010,M,,,,EXP
352-0977-010,SRF2662,B,,,N,EXP
352-0977-020,CD3437,B,,,N,EXP
352-0977-020,352-0977-020,M,,,,EXP
352-1004-020,352-1004-020,M,,,,EXP
352-1005-020,352-1005-020,M,,,,EXP
352-1005-020,64903,B,,,N,EXP
352-1006-020,352-1006-020,M,,,,EXP
352-1006-020,64906,B,,,N,EXP
352-1042-010,FN4721,B,,,N,EXP
352-1042-010,352-1042-010,M,,,,EXP
352-1068-010,352-1068-010,M,,,,EXP
352-1083-010,352-1083-010,M,,,,EXP
352-1083-010,MJE800,B,,,N,EXP
352-1093-010,352-1093-010,M,,,,EXP
352-1093-010,3N187,B,,,N,EXP
352-1110-010,352-1110-010,M,,,,EXP
352-1110-010,SRF2265,B,,,N,EXP
352-1111-010,352-1111-010,M,,,,EXP
352-1111-010,SRF2264,B,,,N,EXP
352161,NAS1593-237,B,,,N,EXP
352161,M83248-1-237,B,,,N,EXP
352161,352161,M,,,,EXP
352161,AS3209-237,B,,,N,EXP
352161,MS17413-237,B,,,N,EXP
352161,MS9388-237,B,,,N,EXP
352244,352244,M,,,,EXP
3522W000-001,3522W000-001,M,,,,ROT
3522W000-002,3522W000-002,M,,,,ROT
35240407-1,35240407-1,M,,,,EXP
3525-0099-01,SSCHF2-65,B,,,N,EXP
3525-0099-01,VA50042,B,,,N,EXP
3525-0099-01,82731,B,,,N,EXP
3525-0099-01,3525-0099-01,M,,,,EXP
3525-0099-01,VA50069,B,,,N,EXP
35250-MEN,35250-MEN,M,,,,TOOL
352-569,352-569,M,,,,TOOL
3525K14,3525K14,M,,,,TOOL
35273,35273,M,,,,EXP
352869,352869,M,,,,EXP
352-9552-040,352-9552-040,M,,,,EXP
352-9552-040,7717-20N,B,,,N,EXP
352-9605-020,43-03-2,B,,,N,EXP
352-9605-020,352-9605-020,M,,,,EXP
352-9605-220,352-9605-220,M,,,,EXP
352-9814-000,352-9814-000,M,,,,EXP
352-9984-020,352-9984-020,M,,,,EXP
352A1546P1,352A1546P1,M,,63760,,REP
352U8030-1,352U8030-1,M,,,,ROT
3530-0305-01,3530-0305-01,M,,,,ROT
35303-10,35303-10,M,,,,TOOL
353-2540-000,353-2540-000,M,,,,EXP
353-281,353-281,M,,,,TOOL
353-3083-000,353-3083-000,M,,,,EXP
353-3399-000,353-3399-000,M,,,,EXP
353-34300-330G,353-34300-330G,M,,,,EXP
353-34302-330G,353-34302-330G,M,,BOEING CA,,EXP
353-3603-010,353-3603-010,M,,,,EXP
353-3623-060,353-3623-060,M,,,,EXP
353-3671-010,353-3671-010,M,,,,EXP
353-37901-330G,353-37901-330G,M,,,,EXP
353-37902-330G,353-37902-330G,M,,,,EXP
353-44102-330G,353-44102-330G,M,,BOEING CA,,EXP
353-6443-010,353-6443-010,M,,,,EXP
353-6474-010,353-6474-010,M,,,,EXP
353-6481-111,353-6481-111,M,,,,EXP
3539-14-02-4102,3539-14-02-4102,M,,,,EXP
35391A4,35391A4,M,,,,CONS
3539-24-01,3539-24-01-0511,B,,,N,EXP
3539-24-01,3539-24-01,M,,,,EXP
3539-24-01-0541,3539-24-01-0541,M,,,,EXP
353AI0900,353AI0900,M,,,,TOOL
354-1022-000,354-1022-000,M,,,,EXP
354-240,354-240,M,,,,CONS
354-256,354-256,M,,,,CONS
35450-1,35450-0,B,,,,EXP
35450-1,35450-1,M,,,,EXP
35450-1,8507,B,,,,EXP
354DN0200,354DN0200,M,,,,TOOL
3550-10,3550-11,B,,,,ROT
3550-10,3550-10,M,,,,ROT
3550-10,3550-12,B,,,,ROT
355030ASMEB18-3,355030ASMEB18-3,M,,,,EXP
355030ASMEB18-3,V1CHC4NFX1-2,B,,,N,EXP
355-041,355-041,M,,,,CONS
355-057,355-057,M,,,,CONS
355-063,355-063,M,,,,CONS
355-079,355-079,M,,,,CONS
355-085,355-085,M,,,,CONS
35519,35519,M,,,,EXP
3551T44,3551T44,M,,,,TOOL
35521,35521,M,,,,EXP
3553AAAYAACXBD,3553AAAYAACXBD,M,,,,ROT
35557-4-255,35557-4-255,M,,,,REP
35560-4-310,35560-4-310,M,,,,REP
35586-4-255,35586-4-255,M,,,,EXP
35594-4-255,35594-4-255,M,,,,ROT
355C,355C,M,,,,EXP
3560-0,3560-0,M,,,,TOOL
3560-2,3560-2,M,,,,TOOL
3561-0,3561-0,M,,,,TOOL
3561-2,3561-2,M,,,,TOOL
3562-0,3562-0,M,,,,TOOL
3562-2,3562-2,M,,,,TOOL
35625-4-255,35625-4-255,M,,,,EXP
3563-0,3563-0,M,,,,TOOL
356302-1,356302-1,M,,,,TOOL
3563-2,3563-2,M,,,,TOOL
35634,35634,M,,,,EXP
3564-0,3564-0,M,,,,TOOL
35641-2-400,35641-2-400,M,,,,EXP
3564-2,3564-2,M,,,,TOOL
356443-1,356443-1,M,,,,TOOL
3565-0,3565-0,M,,,,TOOL
3565-2,3565-2,M,,,,TOOL
35653,35653,M,,,,EXP
356693,356693,M,,,,EXP
356693,AS3209-025,B,,,N,EXP
356693,MS9388-025,B,,,N,EXP
356693,M83248-1-025,B,,,N,EXP
35685-02,35685-02,M,,,,EXP
35712-75,35712-75,M,,OEM,,ROT
35712-79,35712-79,M,,OEM,,ROT
357135,357135,M,,,,EXP
35716,35716,M,,,,EXP
357234,357234,M,,,,EXP
357235,357235,M,,,,EXP
35739,35739,M,,,,EXP
35745,35745,M,,,,EXP
357-722,357-722,M,,,,TOOL
357-7553-050,357-7553-050,M,,,,EXP
357-801,357-801,M,,,,TOOL
357-817,357-817,M,,,,TOOL
357-9326-000,357-9326-000,M,,,,EXP
358-1077-1,358-1077-1,M,,,,ROT
3582T1,3582T1,M,,,,TOOL
358472-1,358472-1,M,,,,EXP
358596-1,358596-1,M,,,,EXP
3585A12,3585A12,M,,,,TOOL
358640-1,358640-1,M,,,,EXP
358717-1,358717-1,M,,,,EXP
35910,35910,M,,,,TOOL
3591-16CN2000,3591-16CN2000,M,,,,CONS
3591-3CN0190,3591-3CN0190,M,,,,REP
3591-4CN0250,3591-4CN0250,M,,,,EXP
3591-4CN0500,3591-4CN0500,M,,,,EXP
3594X3438,3594X3438,M,,,,TOOL
359X341,359X341,M,,,,TOOL
35C0843-02,35C0843-02,M,,,,EXP
35EN23-4,35EN23-4,M,,,,EXP
35EN24-4,35EN24-4,M,,,,EXP
3600004,3600004,M,,,,CONS
3600005,3600005,M,,,,CONS
360-0048-002,360-0048-002,M,,,,EXP
3600053-1,3600053-1,M,,,,EXP
360-0072-008,360-0072-008,M,,,,EXP
360-0087-000,360-0087-000,M,,,,EXP
3600-12,3600-12,M,,,,ROT
3600123-1,3600123-1,M,,,,ROT
3600-13,3600-13,M,,,,EXP
3600214-1,3600214-1,M,,,,ROT
3600236-1,3600236-1,M,,,,ROT
3600-4049,3600-4049,M,,,,EXP
3600500,3600500,M,,,,EXP
3600-5929,3600-5929,M,,,,REPSN
36008-015C,36008-015C,M,,,,EXP
3601193-8,3601193-8,M,,,,ROT
3601880-1,3601880-1,M,,,,EXP
36030-0019,36030-0019,M,,81205,,EXP
3603136-0001,3603136-0001,M,,,,EXP
3603281-6,3603281-6,M,,,,ROT
3603879-2-1,3603879-2-1,M,,,,ROT
3604438-3,3604438-3,M,,,,ROT
3604524-54,3604524-54,M,,,,ROT
3604557-4,3604557-4,M,,,,ROT
3604830,3604830,M,,,,TOOL
3605239-2,3605239-2,M,,,,ROT
3605306-1,3605306-1,M,,,,CONS
3605812-16,3605812-16,M,,,,ROT
3605812-22,3605812-22,M,,,,ROT
3605812-22-1,3605812-22-1,M,,,,ROT
3606010-1,3606010-1,M,,,,EXP
3606321,3606321,M,,,,TOOL
3606740,3606740,M,,,,EXP
3606T31,3606T31,M,,,,EXP
3606T65,3606T65,M,,,,EXP
3607669-1,3607669-1,M,,,,CONS
3608711-1,3608711-1,M,,,,EXP
3608818-1,3608818-1,M,,,,EXP
360-9,360-9,M,,,,CONS
361-016-001,361-016-001,M,,,,TOOLSER
3610875-2,3610875-2,M,,,,EXP
3612170-2,3612170-2,M,,,,EXP
3612170-2,74374-4,B,,,N,EXP
3612790-1,3612790-1,M,,,,EXP
3612793-1,3612793-1,M,,,,EXP
36135103,36135103,M,,,,TOOL
36136103,36136103,M,,,,TOOL
3614211-1,3614211-1,M,,,,EXP
3614423-1,3614423-1,M,,,,EXP
361484,361484,M,,,,EXP
361484,MS9388-331,B,,,N,EXP
3614868-1,3614868-1,M,,,,EXP
3614868-1,3612125-1,B,,,N,EXP
36150,0-0036150-0,B,,,N,EXP
36150,36150,M,,,,EXP
36152,36152,M,,,,EXP
36152109,36152109,M,,,,TOOL
36153,36153,M,,,,CONS
3615759-1,3615759-1,M,,,,EXP
3617459-1,3617459-1,M,,,,EXP
3617750-1,3617750-1,M,,,,ROT
361A9491P1,361A9491P1,M,,,,EXP
36211-201,36211-201,M,,,,EXP
362-527-9004,362-527-9004,M,,,,EXP
362-580-9005,362-580-9005,M,,,,EXP
36260-7-1665,36260-7-1665,M,,,,EXP
36260-9-1665,36260-9-1665,M,,,,EXP
362-750,362-750,M,,,,EXP
362A5835P1,362A5835P1,M,,,,EXP
362A9837P10,362A9837P10,M,,,,SOFT
362A9837P5,362A9837P5,M,,,,SOFT
362A9837P5,2124M22P08,B,,,N,SOFT
362A9837P6,362A9837P6,M,,,,SOFT
362A9837P7,362A9837P7,M,,,,SOFT
362A9837P8,362A9837P8,M,,,,SOFT
36325A72,36325A72,M,,,,CONS
36325A77,36325A77,M,,,,CONS
36325A83,36325A83,M,,,,CONS
3634-130-17-80,3634-130-17-80,M,,,,EXP
3634-192-07-70,3634-192-07-70,M,,,,EXP
3636-2-904,3636-2-904,M,,,,EXP
36370-6,36370-6,M,,,,ROT
3638-036,3638-036,M,,OEM,,EXP
3638-038,3638-038,M,,OEM,,EXP
364-1,364-1,M,,,,ROT
364451-1,364451-1,M,,,,EXP
36456,36456,M,,,,EXP
36457,36457,M,,,,EXP
36461,36461,M,,,,EXP
36500019-1,36500019-1,M,,,,ROT
36500019-1,S453T202-1,B,,,N,ROT
3650-10,3650-10,M,,,,CONS
3650-114,3650-114,M,,,,CONS
3651350,3651350,M,,,,CONS
3653349-505,3653349-505,M,,,,CONS
3656K102,3656K102,M,,,,TOOL
3656K138,3656K138,M,,,,TOOL
3660241,3660241,M,,,,CONS
36610-3,36610-3,M,,,,ROT
366242,366242,M,,,,EXP
366-259,366-259,M,,,,TOOL
3662708-1,3662708-1,M,,,,EXP
36696,36696,M,,,,EXP
367-1884-010,367-1884-010,M,,,,EXP
367-202,367-202,M,,,,CONS
367-410,367-410,M,,,,TOOL
36758-11,36758-11,M,,,,EXP
36758-12,36758-12,M,,,,EXP
368,368,M,,,,CONS
3685198,3685198,M,,,,EXP
3690,3690,M,,,,CONS
369042,369042,M,,,,EXP
3692,3692,M,,,,CONS
369259-32,369259-32,M,,,,EXP
3698,3698,M,,,,CONS
36C708,36C708,M,,,,CONS
36E14-2,36E14-2,M,,,,ROT
36E14-3,36E14-3,M,,,,ROT
36E14-4,36E14-4,M,,,,ROT
36E14-5,36E14-5,M,,,,ROT
36E14-6,36E14-6,M,,,,ROT
36M1T65B00141,36M1T65B00141,M,,,,EXP
370-0055-020,370-0055-020,M,,,,EXP
370-0060-140,370-0060-140,M,,,,EXP
370-0066-030,370-0066-030,M,,,,EXP
370-0066-030,BKAD2BW234-301F0,B,,,N,EXP
370-0069-010,370-0069-010,M,,,,EXP
3700077,3700077,M,,,,EXP
3700078,3700078,M,,,,EXP
3700078,ES1214-5,B,,,N,EXP
37002,37002,M,,,,CONS
370-0505-050,370-0505-050,M,,,,ROT
370-0505-060,370-0505-060,M,,,,ROT
370-2072-000,370-2072-000,M,,,,EXP
370-2072-000,370-2072-00,B,,,N,EXP
370-2141-000,370-2141-000,M,,,,EXP
370-2178-000,370-2178-000,M,,,,EXP
370-2178-000,DPA24W2-33S1,B,,,N,EXP
370-2452-020,DPAL29C1-330-020,B,,,N,EXP
370-2452-020,370-2452-020,M,,,,EXP
37045,37045,M,,,,CONS
37047,37047,M,,,,CONS
370-509-9001,370-509-9001,M,,,,EXP
370-5406-010,370-5406-010,M,,,,EXP
370-5427-100,370-5427-100,M,,,,EXP
371-0239-000,371-0239-000,M,,,,EXP
371-0240-000,371-0240-000,M,,,,EXP
3710X3550,3710X3550,M,,,,TOOL
3710X3590,3710X3590,M,,,,TOOL
37117,37117,M,,,,EXP
37118,37118,M,,,,EXP
3711K1,3711K1,M,,,,CONS
371-2587-010,371-2587-010,M,,,,EXP
3713-11,3713-11,M,,,,TOOL
3713-21,3713-21,M,,,,TOOL
3713-30,3713-30,M,,,,TOOL
3713-40,3713-40,M,,,,TOOL
37140-01,37140-01,M,,,,EXP
3718313-103,3718313-103,M,,,,EXP
3718313-106,3718313-106,M,,,,EXP
3718313-111,3718313-111,M,,,,EXP
3718332-42,3718332-42,M,,,,EXP
3718332-96,3718332-96,M,,,,EXP
3718361-301,SN74LS10N,B,,,N,EXP
3718361-301,3718361-301,M,,,,EXP
3718361-302,3718361-302,M,,,,EXP
3718361-302,SN54LS04J,B,,,N,EXP
3718361-303,3718361-303,M,,,,EXP
3718361-305,3718361-305,M,,,,EXP
3718361-305,74LS20N,B,,,N,EXP
3718361-309,3718361-309,M,,,,EXP
3718361-309,74LS74AN,B,,,N,EXP
3718361-310,3718361-310,M,,,,EXP
3718361-310,SN74LS86N,B,,,N,EXP
3718361-312,SN74LS157N,B,,,N,EXP
3718361-312,3718361-312,M,,,,EXP
3718361-313,3718361-313,M,,,,EXP
3718361-315,74LS195AN,B,,,N,EXP
3718361-315,3718361-315,M,,,,EXP
3718361-316,74LS238N,B,,,N,EXP
3718361-316,3718361-316,M,,,,EXP
3718361-318,3718361-318,M,,,,EXP
3718361-318,74LS175N,B,,,N,EXP
3718361-320,3718361-320,M,,,,EXP
3718361-321,74LS221N,B,,,N,EXP
3718361-321,3718361-321,M,,,,EXP
3718361-329,3718361-329,M,,,,EXP
3718361-329,74LS295BN,B,,,N,EXP
3718361-602,3718361-602,M,,,,EXP
3718361-602,7404N,B,,,N,EXP
3718361-603,7406N,B,,,N,EXP
3718361-603,3718361-603,M,,,,EXP
3718361-613,74156N,B,,,N,EXP
3718361-613,3718361-613,M,,,,EXP
3718361-908,F93L28PC,B,,,N,EXP
3718361-908,3718361-908,M,,,,EXP
3718361-909,93L18,B,,,N,EXP
3718361-909,3718361-909,M,,,,EXP
3718362-832,3718362-832,M,,,,EXP
3718362-923,3718362-923,M,,,,EXP
3718363-101,709HMQB,B,,,N,EXP
3718363-101,3718363-101,M,,,,EXP
3718363-103,747DMB,B,,,N,EXP
3718363-103,3718363-103,M,,,,EXP
3718363-116,723DBM,B,,,N,EXP
3718363-116,3718363-116,M,,,,EXP
3718363-121,3718363-121,M,,,,EXP
3718363-122,3718363-122,M,,,,EXP
3718363-126,3718363-126,M,,,,EXP
3718363-136,3718363-136,M,,,,EXP
3718363-306,LM324N,B,,,N,EXP
3718363-306,3718363-306,M,,,,EXP
3718363-313,3718363-313,M,,,,EXP
3718363-313,NE529N,B,,,N,EXP
3718363-351,MC78L12,B,,,N,EXP
3718363-351,3718363-351,M,,,,EXP
3718363-352,MC78L15,B,,,N,EXP
3718363-352,3718363-352,M,,,,EXP
3718363-361,3718363-361,M,,,,EXP
3718363-361,79M12AHC,B,,,N,EXP
3718366-12,MR812,B,,,N,EXP
3718366-12,3718366-12,M,,,,EXP
3718366-13,3718366-13,M,,,,EXP
3718366-13,MR817,B,,,N,EXP
3718366-14,MR7948,B,,,N,EXP
3718366-14,3718366-14,M,,,,EXP
3718366-40,3718366-40,M,,,,EXP
3718366-53,HP2811,B,,,N,EXP
3718366-53,3718366-53,M,,,,EXP
3718366-56,3718366-56,M,,,,EXP
3718367-803,3718367-803,M,,,,EXP
3718367-891,3718367-891,M,,,,EXP
3718367-892,3718367-892,M,,,,EXP
3718367-896,3718367-896,M,,,,EXP
3718367-898,3718367-898,M,,,,EXP
3718367-900,3718367-900,M,,,,EXP
3718367-908,3718367-908,M,,,,EXP
3718367-909,3718367-909,M,,,,EXP
3718389-1,3718389-1,M,,,,EXP
3718529-7,3718529-7,M,,,,EXP
3718529-8,3718529-8,M,,,,EXP
3718666-1,3718666-1,M,,,,EXP
3718670-1,3718670-1,M,,,,EXP
3718675-3,RA3042,B,,,N,EXP
3718675-3,3718675-3,M,,,,EXP
3718681-2,3718681-2,M,,,,EXP
3718681-3,3718681-3,M,,,,EXP
3718682-1,N825123F,B,,,N,EXP
3718682-1,3718682-1,M,,,,EXP
3718682-2,3718682-2,M,,,,EXP
3718683-1,3718683-1,M,,,,EXP
3718820-613,3718820-613,M,,,,EXP
3718935-1,3718935-1,M,,,,EXP
3718948-1,3718948-1,M,,,,EXP
3719,3719,M,,,,EXP
371X2THD-GB,371X2THD-GB,M,,,,TOOL
371X6-GB,371X6-GB,M,,,,TOOL
372-0358-010,372-0358-010,M,,,,EXP
372-078-002,372-078-002,M,,UPLOAD,,ROT
372-079-003,372-079-003,M,,UPLOAD,,ROT
372-1697-000,372-1697-000,M,,,,EXP
372-2501-050,372-2501-050,M,,,,EXP
372-2519-010,372-2519-010,M,,,,EXP
372-2519-250,372-2519-250,M,,,,EXP
372-2601-037,372-2601-037,M,,,,EXP
372-2601-085,NA1104-085,B,,,N,EXP
372-2601-085,372-2601-085,M,,,,EXP
37230-2,37230-2,M,,,,EXP
372-5878-010,372-5878-010,M,,,,EXP
372-5878-020,372-5878-020,M,,,,EXP
372873,372873,M,,,,EXP
373.50,373.50,M,,,,TOOL
373-0084-000,373-0084-000,M,,,,EXP
37-309,37-309,M,,,,ROT
373-0958-000,373-0958-000,M,,,,EXP
37361,37361,M,,,,EXP
37363,37363,M,,,,EXP
37367,37367,M,,,,EXP
37370,37370,M,,,,EXP
37375,37375,M,,,,EXP
37389,37389,M,,,,EXP
3740X3905,3740X3905,M,,,,TOOL
3-74650,3-74650,M,,,,EXP
374X2THD-GB,374X2THD-GB,M,,,,TOOL
374X343,374X343,M,,,,CONS
374X343THD,374X343THD,M,,,,TOOL
3750805-1,3750805-1,M,,,,REP
3750810-1,3750810-1,M,,,,EXP
3750X3594,3750X3594,M,,,,TOOL
3750X3690,3750X3690,M,,,,TOOL
37528,37528,M,,,,EXP
37540-1,37540-1,M,,,,ROT
3755-2,3755-2,M,,,,ROT
375-5220,375-5220,M,,,,EXP
3757183-2,3757183-2,M,,,,ROT
3757183-4,3757183-4,M,,,,ROT
3757183-5,3757183-5,M,,,,ROT
3757-2,3757-2,M,,,,TOOL
3757202-1,3757202-1,M,,,,ROT
375X6-GB,375X6-GB,M,,,,TOOL
37604-110,37604-110,M,,,,EXP
37604-331,37604-331,M,,,,EXP
37637,37637,M,,,,EXP
376463,A83248-1-039,B,,,N,EXP
376463,AS3209-039,B,,,N,EXP
376463,M83248-1-039,B,,,N,EXP
376463,376463,M,,,,EXP
376463,MS9388-039,B,,,N,EXP
3764966-501,3764966-501,M,,,,TOOL
3765-173,3765-173,M,,,,EXP
3765-186,3765-186,M,,,,EXP
3765X3700,3765X3700,M,,,,TOOL
3766351,3766351,M,,,,TOOL
3770052-1,3770052-1,M,,,,EXP
37711-209,37711-209,M,,,,EXP
37731-301,3704276,B,,,N,EXP
37731-301,37731-301,M,,,,EXP
3778828-3,3778828-3,M,,,,EXP
377933,377933,M,,,,TOOL
378-206,378-206,M,,,,EXP
